Product ID,Product Type,Code,Name,Brand,Description,Cost Price,Retail Price,Sale Price,Calculated Price,Fixed Shipping Price,Free Shipping,Warranty,Weight,Width,Height,Depth,Allow Purchases,Product Visible,Product Availability,Product Inventoried,Stock Level,Low Stock Level,Date Added,Date Modified,Category Details,Images,Page Title,META Keywords,META Description,Product Condition,Product URL,Redirect Old URL?,Product Tax Code,Product Custom Fields
2325,,T3290,Urban Mangoz,Urban Mangoz,"<p>This tank top has detail crochet work on the bottom, the top, and the back.</p>",,,19.5,,,N,,,,,,Y,Y,Y,N,100,10,1/9/2017 16:38,4/20/2017 15:17,,,,,,New,,,,
2467,,D3036,Unome,Unome,<p>embroidered dress with short sleeves</p> <p> </p> <p> </p>,,,24.5,,,N,,,,,,Y,Y,Y,N,100,5,12/29/2016 11:08,5/31/2017 14:56,,,,,,New,,,,
2468,,D3038,Unome,Unome,<p>.</p>,,,19.5,,,N,,,,,,Y,Y,Y,N,100,0,12/29/2016 11:21,4/26/2017 19:58,,,,,,New,,,,
2469,,T3639,Unome,Unome,<p>Open Soulder Embroidered Top</p>,,,22.5,,,N,,,,,,Y,Y,Y,N,100,5,12/29/2016 11:24,5/31/2017 14:53,,,,,,New,,,,
2516,,D3045,Unome,Unome,<p>This product is available in Beige color. </p> <p>Made of 100% Rayon</p>,,,14.5,,,N,,,,,,Y,Y,Y,N,100,10,2/11/2017 20:26,5/30/2017 18:36,,,,,,New,,,,
2520,,D3043,Unome,Unome,<p>This product is available in coral color.</p>,,,22.5,,,N,,,,,,Y,Y,Y,N,100,9,2/14/2017 9:10,4/26/2017 19:43,,,,,,New,,,,
2522,,D3050,Unome,Unome,<p>This product is available in bei color.</p>,,,17.5,,,N,,,,,,Y,Y,Y,N,100,10,2/14/2017 9:14,5/30/2017 18:44,,,,,,New,,,,
2524,,J2240,UrbanMagoz,Urban Mangoz,<p>3/4 Sleeve Jacket with crochet.</p> <p>vest worn with P2370 Beige</p>,,,19.5,,,N,,,,,,Y,Y,Y,N,100,10,3/21/2017 9:45,4/18/2017 20:01,,,,,,New,,,,
2527,,T3642,Unome,Unome,<p>3/4 Sleeve with Embroidery / Ties. Unome by Simi Sue.</p>,,,14.5,,,N,,,,,,Y,Y,Y,N,100,10,3/21/2017 10:02,4/26/2017 20:07,,,,,,New,,,,
2530,,T3646,Unome,Unome,<p>Short Sleeve Embroidery top. Unome by Simi Sue.</p> <p> </p> <p> </p>,,,19.5,,,N,,,,,,Y,Y,Y,N,100,10,3/21/2017 10:17,5/30/2017 22:58,,,,,,New,,,,
2532,,T3644,Unome,Unome,<p>3/4 Sleeve Top w/ Embroidery. Unome by Simi Sue.</p> <p> </p> <p> </p>,,,22.5,,,N,,,,,,Y,Y,Y,N,100,10,3/21/2017 10:33,6/2/2017 18:10,,,,,,New,,,,
